system_size,mat_size,buf_size,num_state_mat,cpu_enabled,gpu_enabled,exe_mode,cons_lat_avg,e2e_lat_avg,goodput
5,512,128,5,0,1,DAG,3.00822,60394.5,0.003288
5,512,256,5,0,1,DAG,2.98075,54487.2,0.00723493
5,512,512,5,0,1,DAG,2.95873,96960.2,0.00816027
5,512,1024,5,0,1,DAG,4.80818,211224,0.00755253
5,512,2048,5,0,1,DAG,5.54018,399217,0.008092
5,512,4096,5,0,1,DAG,5.70857,842770,0.0078256
5,512,8192,5,0,1,DAG,5.89762,1.97426e+06,0.00701307
5,512,16384,5,0,1,DAG,6.00259,1.78421e+06,0.00755253
